,Date,High,Low,Open,Close
0,2016-07-15,4.23,4.08,4.13,4.13
1,2016-07-18,4.16,4.08,4.13,4.12
2,2016-07-21,4.12,3.95,4.12,4.05
3,2016-07-24,4.06,3.88,4.05,3.96
4,2016-07-27,4.12,3.93,3.96,4.07
5,2016-07-30,4.07,3.25,4.07,3.5
6,2016-08-02,3.76,3.49,3.5,3.7
7,2016-08-05,3.81,3.68,3.7,3.78
8,2016-08-08,3.8,3.71,3.78,3.75
9,2016-08-11,3.76,3.58,3.75,3.62
10,2016-08-14,3.67,3.54,3.62,3.59
11,2016-08-17,3.63,3.57,3.59,3.61
12,2016-08-20,4.01,3.57,3.61,3.94
13,2016-08-23,3.96,3.75,3.94,3.81
14,2016-08-26,3.82,3.69,3.81,3.77
15,2016-08-29,3.87,3.75,3.77,3.82
16,2016-09-01,4.04,3.79,3.82,4.01
17,2016-09-04,4.01,3.89,4.01,3.95
18,2016-09-07,4.03,3.92,3.95,3.96
19,2016-09-10,3.98,3.73,3.96,3.81
20,2016-09-13,3.85,3.78,3.81,3.82
21,2016-09-16,3.85,3.78,3.82,3.82
22,2016-09-19,3.94,3.73,3.82,3.76
23,2016-09-22,3.86,3.74,3.76,3.8
24,2016-09-25,3.88,3.78,3.8,3.83
25,2016-09-28,3.85,3.79,3.83,3.83
26,2016-10-01,3.85,3.81,3.83,3.83
27,2016-10-04,3.86,3.81,3.83,3.84
28,2016-10-07,3.85,3.72,3.84,3.77
29,2016-10-10,3.96,3.77,3.77,3.88
30,2016-10-13,3.91,3.84,3.88,3.86
31,2016-10-16,3.88,3.74,3.86,3.79
32,2016-10-19,3.91,3.71,3.79,3.85
33,2016-10-22,3.92,3.83,3.85,3.85
34,2016-10-25,4.05,3.86,3.85,3.95
35,2016-10-28,4.1,3.93,3.95,3.96
36,2016-10-31,4.17,3.73,3.96,3.83
37,2016-11-03,3.9,3.78,3.83,3.87
38,2016-11-06,3.93,3.58,3.87,3.85
39,2016-11-09,3.85,3.71,3.85,3.75
40,2016-11-12,3.96,3.63,3.75,3.87
41,2016-11-15,4.02,3.85,3.87,3.93
42,2016-11-18,3.95,3.83,3.93,3.92
43,2016-11-21,3.96,3.83,3.92,3.86
44,2016-11-24,3.89,3.82,3.86,3.86
45,2016-11-27,3.9,3.82,3.86,3.87
46,2016-11-30,3.94,3.84,3.87,3.89
47,2016-12-03,3.92,3.28,3.89,3.5
48,2016-12-06,3.71,3.46,3.5,3.67
49,2016-12-09,3.69,3.59,3.67,3.65
50,2016-12-12,3.68,3.56,3.65,3.63
51,2016-12-15,3.7,3.56,3.63,3.66
52,2016-12-18,3.79,3.61,3.66,3.63
53,2016-12-21,4.68,3.58,3.63,4.38
54,2016-12-24,4.44,4.03,4.38,4.3
55,2016-12-27,4.54,4.14,4.3,4.35
56,2016-12-30,4.69,4.22,4.35,4.54
57,2017-01-02,4.73,3.95,4.54,4.16
58,2017-01-05,4.29,3.48,4.16,3.91
59,2017-01-08,4.58,3.69,3.91,3.84
60,2017-01-11,4.05,3.68,3.84,3.89
61,2017-01-14,3.94,3.79,3.89,3.89
62,2017-01-17,3.92,3.7,3.89,3.84
63,2017-01-20,3.9,3.77,3.84,3.82
64,2017-01-23,3.85,3.63,3.82,3.81
65,2017-01-26,3.86,3.74,3.81,3.82
66,2017-01-29,4.15,3.82,3.82,4
67,2017-02-01,4.06,3.89,4,3.96
68,2017-02-04,4.03,3.89,3.96,3.93
69,2017-02-07,3.98,3.49,3.93,3.76
70,2017-02-10,3.83,3.67,3.76,3.74
71,2017-02-13,3.89,3.69,3.74,3.84
72,2017-02-16,3.88,3.72,3.84,3.75
73,2017-02-19,3.84,3.45,3.75,3.8
74,2017-02-22,3.91,3.72,3.8,3.85
75,2017-02-25,3.87,3.76,3.85,3.77
76,2017-02-28,4.35,3.75,3.77,4.02
77,2017-03-03,4.07,3.9,4.02,4.05
78,2017-03-06,4.09,3.78,4.05,3.89
79,2017-03-09,4,3.7,3.89,3.87
80,2017-03-12,5.23,3.82,3.87,4.26
81,2017-03-15,4.59,3.85,4.26,4.05
82,2017-03-18,4.17,3.9,4.05,4.09
83,2017-03-21,4.37,3.88,4.09,4.18
84,2017-03-24,4.28,4.01,4.18,4.1
85,2017-03-27,8.23,4.08,4.1,7.5
86,2017-03-30,8.56,5.89,7.5,8.22
87,2017-04-02,12.85,7.48,8.22,12.39
88,2017-04-05,12.62,9.4,12.39,10.66
89,2017-04-08,10.94,8.71,10.66,9.66
90,2017-04-11,12.16,9.62,9.66,11.67
91,2017-04-14,12.81,10.54,11.67,11.26
92,2017-04-17,11.59,9.98,11.26,10.97
93,2017-04-20,15.74,10.84,10.97,15.15
94,2017-04-23,15.86,14.08,15.15,14.89
95,2017-04-26,15.79,13.35,14.89,15.75
96,2017-04-29,16.25,14.94,15.75,15.57
97,2017-05-02,27.16,15.51,15.57,25.2
98,2017-05-05,30.91,24.81,25.2,28.1
99,2017-05-08,36.47,23.28,28.1,29.88
100,2017-05-11,30.78,24.47,29.88,28.07
101,2017-05-14,28.09,20.32,28.07,25.06
102,2017-05-17,28.79,24.44,25.06,27.42
103,2017-05-20,31.72,22.82,27.42,31.36
104,2017-05-23,35.94,23.35,31.36,24.45
105,2017-05-26,25.99,18.13,24.45,25.33
106,2017-05-29,29.61,23.51,25.33,27.55
107,2017-06-01,28.65,26.78,27.55,27.89
108,2017-06-04,31.62,27.85,27.89,28.47
109,2017-06-07,30.63,27.8,28.47,30.06
110,2017-06-10,34.43,27.09,30.06,30.38
111,2017-06-13,34.18,25.45,30.38,34.12
112,2017-06-16,50.14,34.12,34.12,47.37
113,2017-06-19,48.32,42.85,47.37,46.16
114,2017-06-22,46.98,39.33,46.16,41.28
115,2017-06-25,43.1,34.19,41.28,41.89
116,2017-06-28,41.94,37.12,41.89,38.08
117,2017-07-01,54.82,36.87,38.08,54.51
118,2017-07-04,56.58,44.47,54.51,46.1
119,2017-07-07,52.4,42.68,46.1,45
120,2017-07-10,48.38,41.84,45,45.69
121,2017-07-13,45.96,35.49,45.69,40.7
122,2017-07-16,44.84,39.82,40.7,40.11
123,2017-07-19,47.31,40.11,40.11,46.47
124,2017-07-22,46.67,40.52,46.47,42.3
125,2017-07-25,43.09,40.17,42.3,40.43
126,2017-07-28,43.57,38.45,40.43,42.38
127,2017-07-31,43.93,41.11,42.38,42.75
128,2017-08-03,47.23,42.41,42.75,45.56
129,2017-08-06,50.2,45.21,45.56,47.78
130,2017-08-09,48.68,46,47.78,46.27
131,2017-08-12,47.43,41.78,46.27,43.17
132,2017-08-15,47.92,42.1,43.17,46.74
133,2017-08-18,48.94,43.39,46.74,48.09
134,2017-08-21,55.43,44.85,48.09,50.36
135,2017-08-24,64.49,49.78,50.36,61.08
136,2017-08-27,66.57,58.87,61.08,65.97
137,2017-08-30,93.67,65.12,65.97,79.18
138,2017-09-02,84.07,62.97,79.18,73.73
139,2017-09-05,82.84,68.42,73.73,73.19
140,2017-09-08,73.95,63.33,73.19,68.13
141,2017-09-11,71.97,44.9,68.13,45.2
142,2017-09-14,57.34,33.38,45.2,51
143,2017-09-17,57.49,50.98,51,51.56
144,2017-09-20,52.48,44.8,51.56,49.29
145,2017-09-23,54.37,47.18,49.29,52.27
146,2017-09-26,57.39,50.44,52.27,52.8
147,2017-09-29,55.91,52.75,52.8,53.29
148,2017-10-02,53.54,50.17,53.29,51.64
149,2017-10-05,54.79,51.34,51.64,53.3
150,2017-10-08,53.44,48.12,53.3,50.79
151,2017-10-11,66.48,50.73,50.79,63.94
152,2017-10-14,69.95,58.5,63.94,59.19
153,2017-10-17,62.17,53.05,59.19,60.09
154,2017-10-20,60.36,51.92,60.08,54.63
155,2017-10-23,58.98,52.35,54.63,55.55
156,2017-10-26,57.83,53.86,55.55,56.75
157,2017-10-29,58.66,52.72,56.75,52.83
158,2017-11-01,56.13,50.03,52.82,54.83
159,2017-11-04,63.49,53.43,54.84,60.52
160,2017-11-07,66.9,56.02,60.52,58.99
161,2017-11-10,63.77,56.73,59.07,61
162,2017-11-13,76.1,60.12,61,70.7
163,2017-11-16,73.24,65.33,70.7,71.76
164,2017-11-19,73.16,68.09,71.76,72.03
165,2017-11-22,89.47,70.74,72.03,88.79
166,2017-11-25,94.53,83.73,88.77,94.22
167,2017-11-28,103.03,76.95,94.22,99.15
168,2017-12-01,106.77,95.39,99.15,103.87
169,2017-12-04,103.91,86.93,103.86,96
170,2017-12-07,179.54,93.37,95.99,147.84
171,2017-12-10,401.76,146.97,147.46,305.27
172,2017-12-13,317.69,249.24,305.03,302.04
173,2017-12-16,376.1,300.59,302.04,346.87
174,2017-12-19,346.73,158.96,346.73,262.09
175,2017-12-22,312.71,244.14,262.15,268.21
176,2017-12-25,285.32,224.07,268.03,249.86
177,2017-12-28,258.36,202.02,249.84,226.52
178,2017-12-31,260.53,216.42,226.52,244.63
179,2018-01-03,305.21,225.59,244.63,278.92
180,2018-01-06,287.27,231.21,278.92,246.04
181,2018-01-09,252.89,217.85,246.02,235.35
182,2018-01-12,268.81,230.79,235.35,231.89
183,2018-01-15,232.4,136.45,231.89,191.03
184,2018-01-18,214.72,182.88,191.03,190.73
185,2018-01-21,194.34,164.76,190.72,180.59
186,2018-01-24,184.69,165.76,180.59,180.71
187,2018-01-27,194.48,159.77,180.71,165.38
188,2018-01-30,166.86,102.51,165.36,131.17
189,2018-02-02,174.66,114.72,131.17,125.04
190,2018-02-05,159.11,105.5,125.02,149.48
191,2018-02-08,169.32,141.8,149.54,149.06
192,2018-02-11,217.42,149.03,149.06,212.01
193,2018-02-14,237.15,206.77,212.01,229.41
194,2018-02-17,252.2,211.9,229.43,229.38
195,2018-02-20,231.7,182.37,229.43,206.6
196,2018-02-23,231.6,194.86,206.6,218.62
197,2018-02-26,223.61,200.47,218.62,209.32
198,2018-03-01,217.99,204.5,209.31,213.36
199,2018-03-04,215.97,174.32,213.36,186.04
200,2018-03-07,194.73,158.82,186.05,187.3
